timestamp,Caracteristica,Periodo,Fecha,Actual,Consenso,Previo
30/04/2020 09:00,P1,Q1-20,1,-0.038,-0.035,0.001
15/05/2020 09:00,P2,Q1-20,2,-0.038,-0.038,-0.038
09/06/2020 09:00,Oficial,Q1-20,3,-0.036,-0.038,-0.001
31/07/2020 09:00,P1,Q2-20,4,-0.121,-0.12,-0.036
14/08/2020 09:00,P2,Q2-20,5,-0.121,-0.121,-0.121
08/09/2020 09:00,Oficial,Q2-20,6,-0.118,-0.121,-0.035
30/10/2020 09:00,P1,Q3-20,7,0.127,0.094,-0.118
13/11/2020 09:00,P2,Q3-20,8,0.126,0.127,0.127
08/12/2020 09:00,Oficial,Q3-20,9,0.125,0.126,-0.116
02/02/2021 09:00,P1,Q4-20,10,-0.0007,-0.012,0.125
16/02/2021 09:00,P2,Q4-20,11,-0.006,-0.007,-0.007
09/03/2021 09:00,Oficial,Q4-20,12,-0.007,-0.006,0.126
30/04/2021 09:00,P1,Q1-21,13,-0.006,-0.008,-0.007
18/05/2021 09:00,P2,Q1-21,14,-0.006,-0.006,-0.006
08/06/2021 09:00,Oficial,Q1-21,15,-0.003,-0.006,-0.003
30/07/2021 09:00,P1,Q2-21,16,0.02,0.015,-0.003
17/08/2021 09:00,P2,Q2-21,17,0.02,0.02,0.02
07/09/2021 09:00,Oficial,Q2-21,18,0.022,-0.006,-0.001
29/10/2021 09:00,P1,Q3-21,19,0.022,0.02,0.022
16/11/2021 09:00,P2,Q3-21,20,0.022,0.022,0.022
07/12/2021 09:00,Oficial,Q3-21,21,0.022,0.022,0.022
31/01/2022 09:00,P1,Q4-21,22,0.003,0.003,0.022
15/02/2022 09:00,P2,Q4-21,23,0.003,0.003,0.003
08/03/2022 09:00,Oficial,Q4-21,24,0.003,0.003,0.003
29/04/2022 09:00,P1,Q1-22,25,-0.002,0.003,0.003
17/05/2022 09:00,P2,Q1-22,26,0.003,0.002,0.002
08/06/2022 09:00,Oficial,Q1-22,27,0.006,0.003,0.003
